5,"The MacBook Air is Apple’s most affordable laptop. If you’re looking for a good performing machine at low price, the MacBook Air fits the bill. The MacBook Air has a 13.3-inch LED-backlit screen with IPS technology and 400 nits of brightness.",Macbook Air 13,0,999.0,25,5,5
6,"The GeForce RTX 2080 is an enthusiast-class graphics card by NVIDIA, launched in September 2018. The card supports DirectX 12 Ultimate. This ensures that all modern games will run on GeForce RTX 2080.",NVIDIA GeForce RTX 2080,0,949.0,30,6,6
8,Apple's iPad Air is an iOS tablet that is lighter and thinner than Apple's previous tablets. iPad Air runs the iOS 7 operating system and features a 64-bit Apple A7 processor and 1 GB of RAM.,iPad Air,0,400.0,30,8,8
9,"With the GL552VX, ASUS proves that you can have a good experience with a gaming laptop that doesn't cost thousands. The 950M GPU allows you playing some of the latest games in a fashion that doesn't make you want to throw it out a window.",ASUS ROG GL552VX,0,999.99,40,9,9
7,"The iPad Pro is a line of iPad tablet computers designed, developed, and marketed by Apple Inc. and first available in November 2015. They run the iOS and iPadOS mobile operating systems.",iPad Pro 12.9,3,1099.0,47,7,7
10,The Lenovo Legion Y530 is the Porsche of budget gaming laptops. Its minimalist design and blackout color scheme give it a suave look you'd associate with tuxedo-clad big-screen villains. It's a refreshing departure from the garish beasts.,Lenovo Legion Y530,4,1099.99,96,10,10
19,"ROG Strix GeForce GTX 1660 SUPER gives you a serious advantage for AAA games. With the speed and power of the Strix 1660 Super on your side, you will surely reach the top of the leaderboard in your favorite games.",ASUS GeForce GTX 1660 SUPER ROG STRIX 6GB GDDR6 192-bit,0,739.99,40,19,19
14,"PRO Wireless was designed to be the ultimate gaming mouse for esports professionals. Over a 2 year period, Logitech G collaborated with more than 50 professional players to find the perfect shape, weight and feel.",Logitech G Pro Wireless,1,128.99,119,14,14
15,"The new dual sensor system combines true 1 to 1 tracking with breakthrough state-of-the art lift off distance detection. For the first time ever, you are in complete control - even on lift off.",Steelseries Rival 600,1,94.99,99,15,15
18,"The GeForce RTX 3060 Ti is a high-end graphics card by NVIDIA, launched in December 2020. Built on the 8 nm process, and based on the GA104 graphics processor, in its GA104-200-A1 variant, the card supports DirectX 12 Ultimate.",ASUS Dual GeForce RTX 3060 Ti 8GB GDDR6,1,2199.99,24,18,18
3,Samsung Galaxy S20 Ultra is the biggest smartphone in size  released in 2020. It comes with a display screen of 6.9 inches that consists of a Dynamic AMOLED 2X capacitive touchscreen that provides a resolution of 1440 x 3200 pixels.,Samsung Galaxy S20 Ultra,10,769.99,40,3,3
4,"Mac is a family of all-in-one Macintosh desktop computers designed and built by Apple Inc. It has been the primary part of Apple's consumer desktop offerings since its debut in August 1998, and has evolved through seven distinct forms.",iMac,3,1299.0,26,4,4
12,OnePlus 8T smartphone was launched on 14th October 2020. The phone comes with a 6.55-inch touchscreen display with a resolution of 1080x2400 pixels at a pixel density of 402 pixels per inch (ppi) and an aspect ratio of 20:9. It comes with 12GB of RAM.,OnePlus 8T,3,499.99,37,12,12
1,"The iPhone X is a smartphone designed, developed, and marketed by Apple Inc. The eleventh generation of the iPhone, it was available to pre-order on October 27, 2017 and was released on November 3, 2017.",iPhone X,8,336.0,62,1,1
13,G305 is a LIGHTSPEED wireless gaming mouse designed for serious performance with latest technology innovations at an affordable price point. Now in a variety of vibrant colors.,Logitech G305,0,59.99,49,13,13
16,"ASUS S300MA is a high quality family PC, which raises every aspect of content creation and daily calculations. Supported by Intel Core i7 and NVIDIA RTX 2060, the S300MA offers the productivity you need to fuel your passion for creativity.","Desktop PC ASUS, Intel Core i5-10400F 4.3GHz, NVIDIA GeForce PH GTX 1660 Super 6GB ",0,999.99,40,16,16
17,"Give yourself a competitive advantage in sports with ROG Strix GT15. Designed as a superior, cooling-focused, compact PC - it uses an NVIDIA GeForce RTX 2070 SUPER and a powerful Intel Core i7-10700KF to deliver fluid visual effects at high rates.","Desktop PC ASUS ROG Strix, Intel Core i7-10700KF 5.1GHz, NVIDIA GeForce RTX 3070 8GB",1,2299.99,29,17,17
